replicate_id,flat_accuracy,hierarchical_accuracy,difference_accuracy,flat_balanced_accuracy,hierarchical_balanced_accuracy,difference_balanced_accuracy,flat_macro_f1,hierarchical_macro_f1,difference_macro_f1,flat_f1_non_malignant,flat_f1_melanoma,flat_f1_bcc,flat_f1_scc,hierarchical_f1_non_malignant,hierarchical_f1_melanoma,hierarchical_f1_bcc,hierarchical_f1_scc,difference_f1_non_malignant,difference_f1_melanoma,difference_f1_bcc,difference_f1_scc
5921,0.73936750272628138,0.7369138495092693,0.0024536532170120751,0.64997397875471652,0.63159773491251137,0.018376243842205153,0.62002610894408905,0.60366344320475473,0.016362665739334314,0.82093663911845727,0.59609698403311662,0.69402319357716324,0.36904761904761907,0.82729866140004382,0.56925031766200762,0.67897435897435898,0.33913043478260868,-0.0063620222815865546,0.026846666371108996,0.015048834602804262,0.029917184265010388
5922,0.74972737186477645,0.74700109051254093,0.0027262813522355156,0.66354445653545979,0.63781832490810109,0.025726131627358706,0.63144287359666795,0.61614065198899526,0.015302221607672695,0.82651428571428565,0.61887694145758665,0.70323741007194229,0.37714285714285711,0.83215859030837003,0.58364779874213835,0.700497512437811,0.34825870646766166,-0.0056443045940843817,0.035229142715448303,0.0027398976341312942,0.028884150675195452
5923,0.73800436205016362,0.74781897491821159,-0.0098146128680479672,0.63358767961599982,0.63763972195268193,-0.0040520423366821046,0.60653472273209863,0.6134946928191537,-0.0069599700870550674,0.81857698467169981,0.6065671641791045,0.6784140969162995,0.32258064516129031,0.83424807903402853,0.58561425843411841,0.69608826479438324,0.3380281690140845,-0.015671094362328719,0.020952905744986094,-0.017674167878083735,-0.015447523852794187
5924,0.74427480916030531,0.75490730643402404,-0.010632497273718733,0.68482366074925294,0.64604177881357372,0.038781881935679219,0.64477881487882494,0.62128094093867259,0.023497873940152347,0.81853816001844593,0.61344537815126055,0.70147954743255003,0.44565217391304351,0.83768943553700859,0.60000000000000009,0.71255060728744923,0.33488372093023255,-0.01915127551856266,0.013445378151260456,-0.011071059854899201,0.11076845298281096
5925,0.74427480916030531,0.7369138495092693,0.0073609596510360031,0.65159411415115298,0.62122608142536517,0.030368032725787808,0.61345314214219315,0.59601688989949064,0.01743625224270251,0.82203780544029503,0.62211709047900654,0.69680851063829785,0.31284916201117319,0.82503870825038705,0.57358490566037734,0.69299111549851922,0.29245283018867924,-0.003000902810092021,0.048532184818629198,0.0038173951397786343,0.020396331822493952
5926,0.73773173391494007,0.73364231188658668,0.0040894220283533844,0.65010014925785131,0.63962209730261954,0.010478051955231771,0.6173488864284099,0.61059972768657911,0.0067491587418307963,0.81556527745797847,0.60731132075471694,0.69148936170212771,0.3550295857988166,0.82180200222469413,0.56296296296296289,0.69314796425024827,0.36448598130841114,-0.0062367247667156622,0.044348357791754056,-0.001658602548120558,-0.0094563955095945396
5927,0.74100327153762269,0.74727371864776448,-0.0062704471101417969,0.64922499304982673,0.63357242202678321,0.015652571023043516,0.61664845616324837,0.60900248206663243,0.0076459740966159373,0.82247294496891543,0.61592920353982306,0.6731620903454385,0.3550295857988166,0.8363396392432908,0.59590316573556801,0.67499999999999993,0.32876712328767127,-0.013866694274375369,0.020026037804255048,-0.0018379096545614315,0.026262462511145335
5928,0.75081788440567065,0.73364231188658668,0.01717557251908397,0.67362658051493585,0.61851729740859351,0.055109283106342333,0.64249131536244497,0.59633246237147164,0.046158852990973331,0.82565038795070744,0.61155015197568396,0.71416007036059803,0.41860465116279072,0.8207734806629835,0.56486654252017376,0.70161290322580638,0.29807692307692307,0.0048769072877239417,0.0466836094555102,0.012547167134791648,0.12052772808586765
5929,0.73473282442748089,0.73882224645583428,-0.0040894220283533844,0.62231966491482171,0.62131876666804908,0.0010008982467726302,0.59248923393990371,0.5977976499291564,-0.0053084159892526905,0.81893004115226342,0.61325301204819271,0.65205959684487291,0.2857142857142857,0.82609653956358831,0.58911819887429639,0.67408906882591091,0.30188679245283023,-0.0071664984113248842,0.024134813173896319,-0.022029471981037996,-0.016172506738544534
5930,0.7437295528898582,0.74890948745910579,-0.0051799345692475907,0.65524904371147852,0.62418645184654609,0.031062591864932432,0.62411426782854751,0.60034626028313132,0.023768007545416192,0.82404221151640289,0.61953265428400239,0.6719298245614036,0.38095238095238093,0.83185840707964609,0.61250000000000004,0.69101678183613036,0.26600985221674883,-0.0078161955632432001,0.0070326542840023487,-0.019086957274726757,0.1149425287356321
5931,0.74018538713195203,0.73500545256270444,0.0051799345692475907,0.6364024307984355,0.6183804824626109,0.0180219483358246,0.61496856265004762,0.59622902179560566,0.018739540854441961,0.82134780642243344,0.59765865680837948,0.67957746478873238,0.36129032258064508,0.82238871749669462,0.5638766519823788,0.70199999999999996,0.29665071770334928,-0.001040911074261186,0.033782004826000689,-0.02242253521126758,0.064639604877295809
5932,0.75218102508178841,0.73827699018538717,0.013904034896401241,0.64064162417184467,0.63200415037203594,0.0086374737998087259,0.61268133135947389,0.60168450272897744,0.010996828630496447,0.83635539437896644,0.6101281269066503,0.69471799462846917,0.30952380952380953,0.8280593051560079,0.57268170426065168,0.69565217391304346,0.31034482758620691,0.008296089222958547,0.037446422645998623,-0.000934179284574288,-0.00082101806239737174
5933,0.74672846237731738,0.75136314067611776,-0.0046346782988003765,0.63154244842228968,0.62384616085828237,0.0076962875640073092,0.60379798700156162,0.60580627982402013,-0.0020082928224585128,0.82622504537205088,0.62888482632541132,0.67258207630878442,0.28749999999999998,0.83666739942844581,0.59510357815442561,0.70129870129870131,0.29015544041450775,-0.010442354056394931,0.033781248170985712,-0.028716624989916895,-0.0026554404145077704
5934,0.7369138495092693,0.73227917121046893,0.0046346782988003765,0.65158479302076044,0.6141284431987003,0.037456349822060142,0.62063556173048906,0.58733634450125649,0.033299217229232569,0.81646734130634768,0.5982507288629737,0.69573115349682102,0.37209302325581395,0.81992850759606783,0.57212416311625081,0.70729270729270732,0.25,-0.0034611662897201523,0.026126565746722896,-0.011561553795886303,0.12209302325581395
5935,0.74672846237731738,0.74427480916030531,0.0024536532170120751,0.63343346192083283,0.64122627372112784,-0.0077928118002950075,0.60700777947941775,0.61679696403840922,-0.0097891845589914706,0.83093771389459281,0.61157024793388426,0.6836363636363636,0.30188679245283018,0.8285588364918467,0.5764411027568922,0.71313131313131306,0.34905660377358488,0.0023788774027461157,0.03512914517699206,-0.029494949494949463,-0.047169811320754707
5936,0.74781897491821159,0.7437295528898582,0.0040894220283533844,0.65153341103544049,0.64034308461390521,0.011190326421535279,0.62765340450236096,0.61829092972058219,0.0093624747817787624,0.82689229361994054,0.61183431952662726,0.69526362823949961,0.37662337662337664,0.82719046568086518,0.58998144712430423,0.68965517241379315,0.36633663366336638,-0.00029817206092463966,0.021852872402323031,0.0056084558257064598,0.010286742960010253
5937,0.72709923664122134,0.73773173391494007,-0.010632497273718733,0.64235488683485031,0.62738690130910912,0.01496798552574119,0.61710552880470293,0.60805977042764148,0.0090457583770614525,0.81014393420150788,0.57600950118764838,0.6775067750677507,0.40476190476190477,0.82316805616498456,0.56519026824703689,0.70734229576008267,0.33653846153846151,-0.013024121963476687,0.01081923294061149,-0.029835520692331974,0.068223443223443259
5938,0.74154852780806979,0.7369138495092693,0.0046346782988004875,0.6373274277025025,0.60569656308797193,0.031630864614530574,0.60614227440065616,0.58615590311480703,0.019986371285849125,0.82075903063557387,0.60905840286054835,0.69713261648745517,0.29761904761904762,0.82510423524248411,0.58533501896333751,0.67204843592330987,0.26213592233009708,-0.0043452046069102357,0.023723383897210848,0.025084180564145298,0.035483125288950534
5939,0.73991275899672848,0.73718647764449297,0.0027262813522355156,0.65402467933171882,0.61229608998281504,0.041728589348903777,0.62482224103934847,0.59067950456122453,0.034142736478123936,0.81755514705882359,0.60911270983213428,0.68512110726643605,0.38750000000000001,0.82587505538325201,0.58197747183979975,0.67507274490785651,0.27979274611398963,-0.0083199083244284155,0.027135237992334527,0.010048362358579532,0.10770725388601038
5940,0.73173391494002182,0.73200654307524538,-0.00027262813522355156,0.66613538943211825,0.64045639243483377,0.025678996997284487,0.62932326357181323,0.61037781838545557,0.018945445186357657,0.80756806645131507,0.59857482185273159,0.68892794376098421,0.42222222222222222,0.81707046010224493,0.56118665018541414,0.70870870870870872,0.35454545454545455,-0.0095023936509298634,0.037388171667317449,-0.019780764947724516,0.067676767676767668
5941,0.74482006543075241,0.73936750272628138,0.0054525627044710312,0.65725085108415648,0.61843884695899876,0.038812004125157729,0.61993580051801589,0.59666505341012155,0.023270747107894341,0.82323232323232332,0.63603385731559858,0.66492146596858626,0.35555555555555551,0.82723666813574248,0.59300873907615492,0.66397578203834506,0.30243902439024384,-0.0040043449034191658,0.04302511823944366,0.00094568393024119235,0.053116531165311676
5942,0.73718647764449297,0.73609596510359865,0.0010905125408943173,0.63410594548686416,0.61455547374721187,0.019550471739652298,0.60056242627177536,0.59000318291155751,0.010559243360217851,0.82045402430635161,0.61104441776710683,0.66842568161829385,0.30232558139534882,0.82772277227722768,0.56906429026098027,0.68268268268268262,0.28054298642533937,-0.0072687479708760661,0.041980127506126563,-0.014257001064388763,0.02178259497000945
5943,0.73555070883315155,0.73282442748091603,0.0027262813522355156,0.65868177108904924,0.59554838629760809,0.063133384791441149,0.62639501120737306,0.57696114822956091,0.04943386297781216,0.81741122565864832,0.59139784946236562,0.68336314847942758,0.41340782122905034,0.82417582417582425,0.56371625863151298,0.6924643584521385,0.22748815165876776,-0.0067645985171759238,0.027681590830852643,-0.0091012099727109108,0.18591966957028258
5944,0.75081788440567065,0.74100327153762269,0.0098146128680479672,0.64942090431094623,0.63128894878840458,0.018131955522541654,0.61809599616469424,0.60541064273071388,0.012685353433980362,0.82925714285714291,0.63438256658595638,0.6794759825327511,0.32926829268292679,0.82881692002643748,0.57797581158497779,0.68774703557312256,0.32710280373831774,0.00044022283070543899,0.056406755000978581,-0.0082710530403714566,0.0021654889446090508
5945,0.73909487459105783,0.74236641221374045,-0.0032715376226826187,0.6355915619072896,0.63391151623163322,0.0016800456756563831,0.60960360716625073,0.60796097271538563,0.0016426344508650992,0.81859825927622543,0.60613207547169812,0.68688670829616416,0.32679738562091504,0.82860938883968105,0.59556103575832309,0.67748478701825554,0.33018867924528306,-0.010011129563455623,0.01057103971337503,0.0094019212779086203,-0.0033912936243680192
5946,0.75327153762268262,0.74454743729552886,0.0087241003271537609,0.67972993997397313,0.64430874561337059,0.035421194360602537,0.64451353167279257,0.61266663676037436,0.031846894912418211,0.83337153334861336,0.63543543543543557,0.6672582076308784,0.44198895027624308,0.83178397521026992,0.59686520376175545,0.67535070140280573,0.34666666666666662,0.0015875581383434367,0.038570231673680122,-0.0080924937719273338,0.095322283609576453
5947,0.75708833151581245,0.74482006543075241,0.012268266085060042,0.65869333946982001,0.63406051391403806,0.024632825555781945,0.6329834126898457,0.60668575083159393,0.026297661858251775,0.83602456220150101,0.63017031630170328,0.68838028169014087,0.37735849056603776,0.83259717314487636,0.59250000000000003,0.68490374873353599,0.31674208144796379,0.0034273890566246523,0.037670316301703255,0.003476532956604883,0.060616409118073977
